votes,margin2020,fips,results_trumpd,results_bidenj
10596,66.48735,22085,8776,1731
17650,28.48725,22087,11179,6151
28517,29.57183,22089,18233,9800
6158,-10.26307,22091,2714,3346
12590,-4.4162,22093,5954,6510
21432,-28.20082,22095,7538,13582
41154,14.09098,22097,23171,17372
27038,36.11214,22099,18203,8439
23186,29.13827,22101,14811,8055
140110,44.19385,22103,99666,37746
57661,32.81074,22105,37806,18887
2554,-5.16836,22107,1197,1329
46240,50.04542,22109,34339,11198
11201,51.36149,22111,8407,2654
27324,61.92724,22113,21930,5009
17268,64.91198,22115,14107,2898
19513,37.60057,22117,13307,5970
18216,31.06061,22119,11830,6172
14097,10.52706,22121,7684,6200
5052,71.39747,22123,4317,710
6268,24.96809,22125,3863,2298
6225,49.41365,22127,4619,1543
12268,-13.79198,28001,5222,6914
15811,63.4748,28003,12818,2782
7207,26.12738,28005,4503,2620
8832,18.52355,28007,5178,3542
4292,20.75955,28009,2570,1679
13755,-30.77426,28011,4671,8904
6595,41.28886,28013,4625,1902
5705,38.47502,28015,3924,1729
8148,4.47963,28017,4175,3810
4225,42.98225,28019,3001,1185
4453,-71.16551,28021,603,3772
8347,30.89733,28023,5417,2838
10206,-16.29434,28025,4181,5844
8642,-43.16131,28027,2400,6130
12897,-1.70582,28029,6250,6470
9371,26.01643,28031,5854,3416
76248,23.86554,28033,46462,28265
31725,11.14263,28035,17290,13755
4464,32.32527,28037,2923,1480
11064,76.78055,28039,9713,1218
5816,65.81843,28041,4794,966
7838,25.81016,28043,4889,2866
20957,55.48504,28045,16132,4504
75865,25.16839,28047,46822,27728
100191,-48.31672,28049,25141,73550
6542,-60.92938,28051,1196,5182
4189,-45.30914,28053,1118,3016
676,-6.95266,28055,308,355
10826,75.64197,28057,9438,1249
54623,34.63742,28059,36295,17375
8742,-0.44612,28061,4302,4341
6213,-17.14148,28065,2534,3599
3911,-71.49067,28063,531,3327
30091,42.23522,28067,21226,8517
4732,-23.24598,28069,1787,2887
23481,12.26098,28071,12949,10070
28526,46.84849,28073,20704,7340
31266,16.0142,28075,17967,12960
6617,30.60299,28077,4285,2260
9204,14.4611,28079,5228,3897
37003,32.47845,28081,24207,12189
8178,-34.49499,28083,2623,5444
16818,38.98204,28085,11596,5040
27273,2.61431,28087,13800,13087
56335,11.80616,28089,31091,24440
12194,36.78858,28091,8273,3787
15830,-3.10171,28093,7566,8057
17279,30.69043,28095,11177,5874
5078,15.67546,28097,2917,2121
11720,43.17406,28099,8320,3260
10189,38.49249,28101,6997,3075
5341,-52.42464,28103,1240,4040
19812,-6.53644,28105,9004,10299
15635,4.20211,28107,8060,7403
24056,64.21267,28109,19595,4148
5922,52.98886,28111,4500,1362
17360,-0.96198,28113,8479,8646
14377,62.15483,28115,11550,2614
10588,58.30185,28117,8312,2139
3229,-34.80954,28119,1026,2150
